date,name,location,image,text,category,exhibits
5/5/1997,Iridium Launch 1,Vandenberg,,,launch,
6/18/1997,Iridium Launch 2,Baikonur,,,launch,
7/9/1997,Iridium Launch 3,Vandenberg,,,launch,
8/21/1997,Iridium Launch 4,Vandenberg,,,launch,
9/1/1997,Iridium Launch 5,Taiyuan,,,launch,
9/14/1997,Iridium Launch 6,Baikonur,,,launch,
9/27/1997,Iridium Launch 7,Vandenberg,,,launch,
11/9/1997,Iridium Launch 8,Vandenberg,,,launch,
12/8/1997,Iridium Launch 9,Taiyuan,,,launch,
12/20/1997,Iridium Launch 10,Vandenberg,,,launch,
2/18/1998,Iridium Launch 11,Vandenberg,,,launch,
3/25/1998,Iridium Launch 12,Taiyuan,,,launch,
3/30/1998,Iridium Launch 13,Vandenberg,,,launch,
4/7/1998,Iridium Launch 14,Baikonur,,,launch,
5/2/1998,Iridium Launch 15,Taiyuan,,,launch,
5/17/1998,Iridium Launch 16,Vandenberg,,,launch,
8/19/1998,Iridium Launch 17,Taiyuan,,,launch,
9/8/1998,Iridium Launch 18,Vandenberg,,,launch,
11/6/1998,Iridium Launch 19,Vandenberg,,,launch,
12/19/1998,Iridium Launch 20,Taiyuan,,,launch,
6/11/1999,Iridium Launch 21,Taiyuan,,,launch,
2/11/2002,Iridium Launch 22,Vandenberg,,,launch,
6/20/2002,Iridium Launch 23,Plesetsk,,,launch,
1/14/2017,Iridium NEXT Launch I,Vandenberg,,,launch,
6/25/2017,Iridium NEXT Launch II,Vandenberg,,,launch,
10/9/2017,Iridium NEXT Launch III,Vandenberg,,,launch,
12/23/2017,Iridium NEXT Launch IV,Vandenberg,,,launch,
3/30/2018,Iridium NEXT Launch V,Vandenberg,,,launch,
5/22/2018,Iridium NEXT Launch VI,Vandenberg,,,launch,
7/25/2018,Iridium NEXT Launch VII,Vandenberg,,,launch,
1/11/2019,Iridium NEXT Launch VIII,Vandenberg,,,launch,
6/7/2012,Frank's HS Graduation,Akron OH,,,graduation,
5/12/2017,Frank's College Grad,Columbus OH,,,graduation,
2/2/2012,Iridium 9555 Launched,,,,product,
3/2/2013,Iridium Pilot Launched,,,,product,
5/2/2015,Iridium GO! Launched,,,,product,
9/2/2014,Iridium Extreme PTT Launched,,,,product
